Time [msec],xs,ys,zs,Red,Green,Blue,xr,xact
0,2.024,0.0,0,255,255,255,2.024,0
250,2.0164,0.0043,0,255,255,255,2.0088,0
500,1.9887,0.0201,0,255,255,255,1.9609999999999999,0
750,1.9434,0.046,0,255,255,255,1.8981000000000001,0
1000,1.8833,0.0803,0,255,255,255,1.8232,0
1250,1.811,0.1215,0,255,255,255,1.7387,0
1500,1.7294,0.168,0,255,255,255,1.6478000000000002,0
1750,1.6413,0.2183,0,255,255,255,1.5532,0
2000,1.5494,0.2707,0,255,255,255,1.4575000000000002,0
2250,1.4565,0.3236,0,255,255,255,1.3635999999999997,0
2500,1.3653,0.3755,0,255,255,255,1.2741,0
2750,1.2787,0.4248,0,255,255,255,1.1921,0
3000,1.1994,0.4699,0,255,255,255,1.1201,0
3250,1.1367,0.5082,0,255,255,255,1.074,0
3500,1.0973,0.5373,0,255,255,255,1.0578999999999998,0
3750,1.0702,0.5583,0,255,255,255,1.0431000000000001,0
4000,1.044,0.5722,0,255,255,255,1.0178,0
4250,1.0073,0.5801,0,255,255,255,0.9706000000000001,0
4500,0.9488,0.5829,0,255,255,255,0.8902999999999999,0
4750,0.8557,0.5811,0,255,255,255,0.7626000000000001,0
5000,0.7279,0.5748,0,255,255,255,0.6001,0
5250,0.5782,0.5663,0,255,255,255,0.4285000000000001,0
5500,0.4194,0.5576,0,255,255,255,0.26059999999999994,0
5750,0.2647,0.5508,0,255,255,255,0.10999999999999999,0
6000,0.1268,0.5481,0,255,255,255,-0.011099999999999999,0
6250,0.0188,0.5515,0,255,255,255,-0.0892,0
6500,-0.0464,0.5631,0,255,255,255,-0.11159999999999999,0
6750,-0.0558,0.5851,0,255,255,255,-0.06520000000000001,0
7000,-0.0061,0.6331,0,255,255,255,0.0436,0
7250,0.0818,0.721,0,255,255,255,0.1697,0
7500,0.1916,0.8279,0,255,255,255,0.3014,0
7750,0.3073,0.9324,0,255,255,255,0.42300000000000004,0
8000,0.4128,1.013,0,255,255,255,0.5183,0
8250,0.4921,1.0482,0,255,255,255,0.5713999999999999,0
8500,0.5291,1.0164,0,255,255,255,0.5661,0
8750,0.5292,0.8997,0,255,255,255,0.5293,0
9000,0.526,0.7164,0,255,255,255,0.5228,0
9250,0.5223,0.5052,0,255,255,255,0.5186,0
9500,0.5201,0.305,0,255,255,255,0.5179,0
9750,0.5214,0.1547,0,255,255,255,0.5226999999999999,0
10000,0.5282,0.0929,0,255,255,255,0.535,0
10250,0.5502,0.1463,0,255,255,255,0.5722,0
10500,0.5992,0.2879,0,255,255,255,0.6481999999999999,0
10750,0.6693,0.4806,0,255,255,255,0.7394000000000001,0
11000,0.7543,0.6868,0,255,255,255,0.8392999999999999,0
11250,0.8477,0.8694,0,255,255,255,0.9411,0
11500,0.9435,0.991,0,255,255,255,1.0393,0
11750,1.0354,1.0144,0,255,255,255,1.1273000000000002,0
12000,1.1193,0.9153,0,255,255,255,1.2031999999999998,0
12250,1.1999,0.7266,0,255,255,255,1.2805,0
12500,1.283,0.4927,0,255,255,255,1.3660999999999999,0
12750,1.3746,0.2581,0,255,255,255,1.4662000000000002,0
13000,1.4804,0.0672,0,255,255,255,1.5861999999999998,0
13250,1.6064,-0.0355,0,255,255,255,1.7324000000000002,0
13500,1.7577,-0.0114,0,255,255,255,1.909,0
13750,1.9268,0.1251,0,255,255,255,2.0959000000000003,0
14000,2.0988,0.3318,0,255,255,255,2.2708000000000004,0
14250,2.2588,0.5663,0,255,255,255,2.4187999999999996,0
14500,2.3917,0.7862,0,255,255,255,2.5246000000000004,0
14750,2.4824,0.9492,0,255,255,255,2.5731,0
15000,2.516,1.013,0,255,255,255,2.5496,0
