Time [msec],xs,xr,xact,ys,zs,yact,zact,Red,Green,Blue
0,2.024,2.024,0,0.0,0,0,0,255,255,255
250,2.0164,2.0164,0,0.0043,0,0,0,255,255,255
500,1.9887,1.9887,0,0.0201,0,0,0,255,255,255
750,1.9434,1.9434,0,0.046,0,0,0,255,255,255
1000,1.8833,1.8833,0,0.0803,0,0,0,255,255,255
1250,1.811,1.811,0,0.1215,0,0,0,255,255,255
1500,1.7294,1.7294,0,0.168,0,0,0,255,255,255
1750,1.6413,1.6413,0,0.2183,0,0,0,255,255,255
2000,1.5494,1.5494,0,0.2707,0,0,0,255,255,255
2250,1.4565,1.4565,0,0.3236,0,0,0,255,255,255
2500,1.3653,1.3653,0,0.3755,0,0,0,255,255,255
2750,1.2787,1.2787,0,0.4248,0,0,0,255,255,255
3000,1.1994,1.1994,0,0.4699,0,0,0,255,255,255
3250,1.1367,1.1367,0,0.5082,0,0,0,255,255,255
3500,1.0973,1.0973,0,0.5373,0,0,0,255,255,255
3750,1.0702,1.0702,0,0.5583,0,0,0,255,255,255
4000,1.044,1.044,0,0.5722,0,0,0,255,255,255
4250,1.0073,1.0073,0,0.5801,0,0,0,255,255,255
4500,0.9488,0.9488,0,0.5829,0,0,0,255,255,255
4750,0.8557,0.8557,0,0.5811,0,0,0,255,255,255
5000,0.7279,0.7279,0,0.5748,0,0,0,255,255,255
5250,0.5782,0.5782,0,0.5663,0,0,0,255,255,255
5500,0.4194,0.4194,0,0.5576,0,0,0,255,255,255
5750,0.2647,0.2647,0,0.5508,0,0,0,255,255,255
6000,0.1268,0.1268,0,0.5481,0,0,0,255,255,255
6250,0.0188,0.018799999999999997,0,0.5515,0,0,0,255,255,255
6500,-0.0464,-0.0464,0,0.5631,0,0,0,255,255,255
6750,-0.0558,-0.0558,0,0.5851,0,0,0,255,255,255
7000,-0.0061,-0.006100000000000001,0,0.6331,0,0,0,255,255,255
7250,0.0818,0.08179999999999998,0,0.721,0,0,0,255,255,255
7500,0.1916,0.1916,0,0.8279,0,0,0,255,255,255
7750,0.3073,0.3073,0,0.9324,0,0,0,255,255,255
8000,0.4128,0.4128,0,1.013,0,0,0,255,255,255
8250,0.4921,0.4921,0,1.0482,0,0,0,255,255,255
8500,0.5291,0.5291,0,1.0164,0,0,0,255,255,255
8750,0.5292,0.5292,0,0.8997,0,0,0,255,255,255
9000,0.526,0.526,0,0.7164,0,0,0,255,255,255
9250,0.5223,0.5223,0,0.5052,0,0,0,255,255,255
9500,0.5201,0.5201,0,0.305,0,0,0,255,255,255
9750,0.5214,0.5214,0,0.1547,0,0,0,255,255,255
10000,0.5282,0.5282,0,0.0929,0,0,0,255,255,255
10250,0.5502,0.5502,0,0.1463,0,0,0,255,255,255
10500,0.5992,0.5992,0,0.2879,0,0,0,255,255,255
10750,0.6693,0.6693,0,0.4806,0,0,0,255,255,255
11000,0.7543,0.7543,0,0.6868,0,0,0,255,255,255
11250,0.8477,0.8477,0,0.8694,0,0,0,255,255,255
11500,0.9435,0.9435,0,0.991,0,0,0,255,255,255
11750,1.0354,1.0354,0,1.0144,0,0,0,255,255,255
12000,1.1193,1.1193,0,0.9153,0,0,0,255,255,255
12250,1.1999,1.1999,0,0.7266,0,0,0,255,255,255
12500,1.283,1.283,0,0.4927,0,0,0,255,255,255
12750,1.3746,1.3746,0,0.2581,0,0,0,255,255,255
13000,1.4804,1.4804,0,0.0672,0,0,0,255,255,255
13250,1.6064,1.6064,0,-0.0355,0,0,0,255,255,255
13500,1.7577,1.7577,0,-0.0114,0,0,0,255,255,255
13750,1.9268,1.9268,0,0.1251,0,0,0,255,255,255
14000,2.0988,2.0988,0,0.3318,0,0,0,255,255,255
14250,2.2588,2.2588,0,0.5663,0,0,0,255,255,255
14500,2.3917,2.3917,0,0.7862,0,0,0,255,255,255
14750,2.4824,2.4824,0,0.9492,0,0,0,255,255,255
15000,2.516,2.516,0,1.013,0,0,0,255,255,255
