Time [msec],xs,xr,ys,yr,BLE_Time [msec],Time_Diff [sec],Red,Green,Blue,dXs,dYs,dXr,dYr,dX,dY,dTime,Angle_s (deg),Angle_r (deg),Distance_s (m),Distance_r (m),angle_correction,adjusted_angle
0,0.001,,0,,,0.0,255,255,255,,,,,,,,,,,,,
250,0.0328,0.18,0,0.496,20240812160603.912,0.0,255,255,255,0.0318,0.0,,,-0.038500000000000006,-0.496,0.25,0.0,,0.0318,,,
500,0.1415,0.18,0,0.496,20240812160603.959,47.571000000000005,255,255,255,0.10869999999999999,0.0,0.0,0.0,0.12459999999999999,-0.496,0.25,0.0,0.0,0.10869999999999999,0.0,0.0,0.0
750,0.3046,0.214,0,0.468,20240812160604.254,294.968,255,255,255,0.1631,0.0,0.034,-0.02799999999999997,0.28380000000000005,-0.468,0.25,0.0,-39.472459848343796,0.1631,0.044045431091090465,47.36980812910652,7.897348280762721
1000,0.4978,0.212,0,0.469,20240812160604.528,273.089,255,255,255,0.19320000000000004,0.0,-0.0020000000000000018,0.0009999999999999454,0.4851000000000001,-0.469,0.25,0.0,153.43494882292327,0.19320000000000004,0.002236067977499767,-191.9145016867255,-38.47955286380221
1250,0.6971,0.318,0,0.396,20240812160604.841,313.508,255,255,255,0.19930000000000003,0.0,0.10600000000000001,-0.07299999999999995,0.5602,-0.396,0.25,0.0,-34.55437794347487,0.19930000000000003,0.12870508925446575,62.830839467438636,28.276461523963768
1500,0.8782,0.353,0,0.452,20240812160605.111,269.791,255,255,255,0.18109999999999993,0.0,0.034999999999999976,0.055999999999999994,0.6640999999999999,-0.452,0.25,0.0,57.99461679191653,0.18109999999999993,0.06603786792439621,-78.46314384911537,-20.46852705719884
1750,1.0171,0.395,0,0.521,20240812160605.384,272.89000000000004,255,255,255,0.1388999999999999,0.0,0.04200000000000004,0.069,0.6946999999999999,-0.521,0.25,0.0,58.671307132195814,0.1388999999999999,0.08077747210701758,-64.11388052418337,-5.442573391987558
2000,1.0897,0.461,0,0.512,20240812160605.698,314.40000000000003,255,255,255,0.0726,0.0,0.066,-0.009000000000000008,,,0.25,0.0,-7.76516601842534,0.0726,0.06661080993352356,14.442576577391712,6.677410558966372
